date,close,change,volume,open,high,low
14/05/2010,3.82,0(0.00 %),43580,63.5,64.5,63.5
13/05/2010,3.82,1(1.60 %),91730,64.0,64.0,62.0
12/05/2010,3.76,-1.5(-2.34 %),93610,64.0,64.5,62.5
11/05/2010,3.85,0(0.00 %),155980,66.5,67.0,64.0
10/05/2010,5.03,-1(-1.16 %),335850,86.5,86.5,84.0
07/05/2010,5.09,-1(-1.14 %),210840,86.5,87.0,85.5
06/05/2010,5.15,-1.5(-1.69 %),299590,88.0,89.0,87.5
05/05/2010,5.24,0.5(0.56 %),308760,88.5,89.0,88.0
04/05/2010,5.21,0.5(0.57 %),101940,90.5,90.5,88.5
29/04/2010,5.18,-0.5(-0.56 %),461540,89.0,89.0,88.0
28/04/2010,5.21,0(0.00 %),156830,88.0,88.5,87.5
27/04/2010,5.21,0(0.00 %),336330,88.5,89.5,88.5
26/04/2010,5.21,0.5(0.57 %),267720,88.0,89.0,88.0
22/04/2010,5.18,2(2.33 %),266820,86.0,88.0,86.0
21/04/2010,5.06,0(0.00 %),154300,86.0,86.5,85.5
20/04/2010,5.06,0(0.00 %),123340,84.5,86.0,84.5
19/04/2010,5.06,-1(-1.15 %),254050,87.0,87.0,86.0
16/04/2010,5.12,-0.5(-0.57 %),100290,88.0,88.0,87.0
15/04/2010,5.15,0(0.00 %),204750,88.0,88.0,87.0
14/04/2010,5.15,0.5(0.57 %),134900,87.0,87.5,86.5
13/04/2010,5.12,0(0.00 %),264770,87.0,87.5,86.5
12/04/2010,5.12,1(1.16 %),189040,87.0,87.0,86.5
09/04/2010,5.06,0(0.00 %),108170,86.0,86.5,86.0
08/04/2010,5.06,-0.5(-0.58 %),136320,86.0,87.0,86.0
07/04/2010,5.09,0.5(0.58 %),151090,86.0,86.5,86.0
06/04/2010,5.06,0(0.00 %),284520,86.0,87.0,86.0
05/04/2010,5.06,0(0.00 %),166840,86.5,86.5,86.0
02/04/2010,5.06,1(1.18 %),306570,86.0,86.5,85.0
01/04/2010,5.0,1.5(1.80 %),286770,84.0,85.0,84.0
31/03/2010,4.92,0(0.00 %),179890,84.0,84.0,83.5
30/03/2010,4.92,-1(-1.18 %),214750,84.5,84.5,82.5
29/03/2010,4.97,1.5(1.81 %),89620,84.0,85.0,83.5
26/03/2010,4.89,-0.5(-0.60 %),152570,83.5,83.5,82.0
25/03/2010,4.92,-1.5(-1.76 %),246000,85.0,85.0,83.0
24/03/2010,5.0,2(2.41 %),242280,84.5,85.5,84.0
23/03/2010,4.89,-1(-1.19 %),128330,84.0,85.0,82.5
22/03/2010,4.94,-2(-2.33 %),143010,85.5,85.5,84.0
19/03/2010,5.06,-0.5(-0.58 %),194090,87.0,87.0,85.5
18/03/2010,5.09,2(2.37 %),95600,84.5,86.5,84.5
17/03/2010,4.97,0.5(0.60 %),342500,85.5,86.0,84.0
16/03/2010,4.94,-4(-4.55 %),642300,86.0,86.5,84.0
15/03/2010,5.18,-1(-1.12 %),238400,89.0,89.0,87.0
12/03/2010,5.24,0(0.00 %),337200,89.5,89.5,88.0
11/03/2010,5.24,1(1.14 %),241410,89.5,90.0,88.0
10/03/2010,5.18,4(4.76 %),1193070,85.5,88.0,84.5
09/03/2010,4.94,1.5(1.82 %),444180,83.0,84.0,83.0
08/03/2010,4.86,0.5(0.61 %),291290,82.0,83.0,82.0
05/03/2010,4.83,-0.5(-0.61 %),276710,82.5,83.0,82.0
04/03/2010,4.86,1.5(1.85 %),309130,82.0,82.5,81.0
03/03/2010,4.77,1(1.25 %),208570,81.0,81.0,80.5
